latein_normalisiert,eintraege,tox_werte,edible_werte,spanne_tox,gewinnt_heute,ids,namen,toxische_eintraege_warning
"helleborus niger",3,"3/4/5","nein",2,"P167 Schwarze Nieswurz (tox 5)","P028 P167 W627","Christrose [tox 3] | Schwarze Nieswurz [tox 5] | Schneerose [tox 4]","P028: GIFTIG! Alle Teile. Herzglykoside. | P167: ☠️ SEHR GIFTIG – Herzglykoside. Alle Teile. Geschützte Art! | W627: HOCHGIFTIG! Herzglykoside"
"artemisia absinthium",3,"0/1/2","ja/nein",2,"P100 Wermut (tox 2)","P100 P187 W587","Wermut [tox 2, essbar] | Echter Wermut [tox 1] | Wermutkraut [tox 0]","P100: Thujon ist neurotoxisch in Überdosierung. Nicht in Schwangerschaft."
"echium vulgare",3,"0/2","ja/nein",2,"P118 Natternkopf (tox 2)","P118 W089 K066","Natternkopf [tox 2, essbar] | Gewöhnlicher Natterkopf [tox 0] | Echter Natternkopf [tox 0]","P118: Enthält Pyrrolizidinalkaloide – nicht täglich essen"
"lactarius torminosus",3,"1/2/3","ja/nein",2,"PI495 Echter Zottiger Milchling (tox 3)","F158 F280 PI495","Echter Milchling (wollig) [tox 2] | Birken-Reizker [tox 1, essbar] | Echter Zottiger Milchling [tox 3]","F158: GIFTIG roh | PI495: Giftig roh! In CH NICHT essen!"
"amanita regalis",3,"3/5","nein",2,"PI283 Königsfliegenpilz (tox 5)","F257 PI283 PI337","Königs-Fliegenpilz [tox 3] | Königsfliegenpilz [tox 5] | Brauner Fliegenpilz [tox 5]","F257: GIFTIG! Halluzinogen. Nicht verwechseln mit essbaren braunen Pilzen. | PI283: SEHR GIFTIG: Halluzinationen, Krämpfe | PI337: SEHR GIFTIG: Halluzinationen"
"clitocybe nebularis",2,"1/3","ja/nein",2,"PI202 Nebelgrauer Rötelritterling (tox 3)","F047 PI202","Nebelkappe [tox 1, essbar] | Nebelgrauer Rötelritterling [tox 3]","PI202: Giftig für viele Menschen (Nebularin)"
"tricholoma terreum",2,"0/2","ja/nein",2,"PI048 Erdritterlinge (tox 2)","F125 PI048","Erdritterling [tox 0, essbar] | Erdritterlinge [tox 2]","PI048: Kann giftig sein (ungeklärt); nicht mehr empfohlen"
"cortinarius mucosus",2,"0/2","ja/nein",2,"F180 Echter Schleimkopf (tox 2)","F180 F274","Echter Schleimkopf [tox 2] | Heide-Schleimfuß [tox 0, essbar]","F180: Schleierling – giftverdächtig"
"omphalotus olearius",2,"2/4","nein",2,"PI066 Ölbaumseitling (tox 4)","F182 PI066","Echter Nabeling [tox 2] | Ölbaumseitling [tox 4]","F182: GIFTIG – biolumineszent | PI066: Giftig: Illudin – Magenbeschwerden, Erbrechen"
"angelica sylvestris",2,"0/2","nein",2,"W803 Wald-Engelwurz (tox 2)","K012 W803","Angelika [tox 0] | Wald-Engelwurz [tox 2]","W803: Phototoxisch! Furanocumarine"
"flammulina velutipes",10,"0/1","ja",1,"PI_K003 Samtfussrübling (tox 1)","F016 X308 F050 F109 F271 PI051 PI356 PI403 PI489 PI_K003","Samtfussrübling / Enoki [tox 0, essbar] | Samtfussrübling (Winterpilz) [tox 0, essbar] | Samtfussrübling [tox 0, essbar] | Samtfuss-Rübling [tox 0, essbar] | Winterpilz [tox 0, essbar] | Samtiger Rübling [tox 0, essbar] | Gemeiner Wachsrübling [tox 0, essbar] | Samtfuss-Pilz [tox 0, essbar] | Echter Samtfussrübling [tox 0, essbar] | Samtfussrübling [tox 1, essbar]",""
"hypericum perforatum",7,"0/1","ja/nein",1,"P019 Johanniskraut (tox 1)","P019 H022 P183 HP145 W225 K207 K268","Johanniskraut [tox 1] | Johanniskraut (Ölauszug) [tox 1] | Tüpfel-Johanniskraut [tox 1, essbar] | Echter Tüpfeljohanniskraut [tox 1, essbar] | Tüpfeljohanniskraut [tox 0, essbar] | Echtes Johanniskraut [tox 0, essbar] | Echter Tüpfel-Johanniskraut [tox 0, essbar]",""
"aconitum napellus",6,"4/5","nein",1,"P025 Blauer Eisenhut (tox 5)","P025 X310 P217 HP146 W038 K102","Blauer Eisenhut [tox 5] | Eisenhut (Blauer) [tox 4] | Blaue Eisenhutblüte [tox 5] | Echter Echter Eisenhut [tox 5] | Eisenhut [tox 5] | Echter Eisenhut [tox 5]","P025: ☠️ TÖDLICH GIFTIG! Gefährlichste einheimische Pflanze. Schon Hautkontakt gefährl | X310: ☠️ TÖDLICH! Aconitin — stärkstes pflanzliches Gift Europas. Wirkt durch Haut! Sc | P217: TÖDLICH! Aconitum-Alkaloide | HP146: TÖDLICH! Aconitum | W038: TÖDLICH GIFTIG – alle Teile! Hautkontakt gefährlich! | K102: TÖDLICH GIFTIG – alle Teile! Hautkontakt gefährlich!"
"euonymus europaeus",6,"3/4","nein",1,"BA093 Europäisches Pfaffenhütchen (tox 4)","T029 T097 T111 BA093 BA340 BA373","Pfaffenhütchen [tox 3] | Spindelstrauch (Europäisch) [tox 3] | Gewöhnliches Pfaffenhütchen [tox 3] | Europäisches Pfaffenhütchen [tox 4] | Gewöhnlicher Spindelstrauch [tox 4] | Echter Pfaffenhütchen [tox 4]","T029: GIFTIG! Alle Teile, besonders Früchte. | T097: Giftig – alle Teile, besonders Früchte | T111: GIFTIG – alle Teile | BA093: GIFTIG! Alle Teile, besonders auffällige Früchte | BA340: GIFTIG! Alle Teile (Evatropin) | BA373: GIFTIG! Kardiogene Glykoside"
"petroselinum crispum",6,"0/1","ja",1,"H062 Petersilie (Flach) (tox 1)","H001 H062 H063 HP057 HP235 HP330","Petersilie (Wild) [tox 0, essbar] | Petersilie (Flach) [tox 1, essbar] | Petersilie (Kraus) [tox 0, essbar] | Echte Petersilie [tox 1, essbar] | Petersilie (Topf) [tox 0, essbar] | Petersilie [tox 0, essbar]",""
"leccinum scabrum",6,"0/1","ja",1,"F305 Birken-Rotkappe (tox 1)","F044 F078 F138 F305 PI075 PI416","Birkenröhrling [tox 0, essbar] | Birkenpilz [tox 0, essbar] | Echter Birkenpilz [tox 0, essbar] | Birken-Rotkappe [tox 1, essbar] | Speiseröhrling [tox 0, essbar] | Grauer Birkenpilz [tox 0, essbar]",""
"petasites hybridus",5,"0/1","nein",1,"P017 Pestwurz (tox 1)","P017 H020 W086 W327 K223","Pestwurz [tox 1] | Pestwurz-Extrakt [tox 1] | Gewöhnliche Pestwurz [tox 0] | Pestwurz-Pappel [tox 0] | Echte Pestwurz [tox 0]",""
"sorbus aucuparia",5,"0/1","ja",1,"T012 Vogelbeere / Eberesche (tox 1)","T012 T068 T122 BA051 BA259","Vogelbeere / Eberesche [tox 1, essbar] | Vogelbeere (Sorbus) [tox 1, essbar] | Vogelbeere (Eberesche) [tox 1, essbar] | Eberesche [tox 0, essbar] | Gewöhnliche Eberesche [tox 0, essbar]",""
"gyromitra esculenta",5,"3/4","nein",1,"F074 Lorchel (Frühjahrs) (tox 4)","F035 X305 F074 F106 PI472","Frühlingslorchel [tox 3] | Frühjahrslorchel [tox 3] | Lorchel (Frühjahrs) [tox 4] | Herbst-Lorchel [tox 3] | Echter Frühjahrslorchel [tox 4]","F035: GIFTIG! Gyromitrin. Verwechslung mit Morchel! Auch Dämpfe beim Kochen giftig. | X305: 🔴 GIFTIG (Gyromitrin)! Morchel = WABENFÖRMIG, Lorchel = HIRNFÖRMIG. NICHT essen | F074: GIFTIG – Gyromitrin (Methylhydrazin). Historisch tödlich. Beim Kochen entweicht  | F106: GIFTIG – Gyromitrinsäure | PI472: Giftig! Gyromitrin – Todesfälle bekannt!"
"artemisia vulgaris",5,"0/1","ja",1,"X301 Beifuss (tox 1)","X301 P099 W031 W047 W566","Beifuss [tox 1, essbar] | Beifuss (Echter) [tox 1, essbar] | Beifuß [tox 0, essbar] | Gemeiner Beifuß [tox 0, essbar] | Gemeiner Beifuss [tox 0, essbar]",""
"tussilago farfara",4,"0/1","ja/nein",1,"P016 Huflattich (tox 1)","P016 H033 K222 W472","Huflattich [tox 1, essbar] | Huflattich-Tee [tox 1, essbar] | Echter Huflattich [tox 0] | Gewöhnlicher Huflattich [tox 0]",""
"equisetum arvense",4,"0/1","nein",1,"P054 Acker-Schachtelhalm (tox 1)","P054 HP107 K013 K368","Acker-Schachtelhalm [tox 1] | Echter Ackerschachtelhalm [tox 1] | Schachtelhalm [tox 0] | Echter Schachtelhalm [tox 0]",""
"lonicera periclymenum",4,"1/2","nein",1,"P059 Waldgeissblatt (tox 2)","P059 T092 BA115 BA268","Waldgeissblatt [tox 2] | Geissblatt (Wald) [tox 2] | Gemeines Geissblatt [tox 1] | Wald-Geissblatt [tox 2]","P059: GIFTIG! Rote Beeren. Besonders für Kinder. | T092: Beeren giftig | BA268: Beeren giftig!"
"quercus robur",4,"0/1","ja/nein",1,"T052 Eiche (Stieleiche) (tox 1)","T008 T052 BA031 BA250","Stieleiche [tox 0] | Eiche (Stieleiche) [tox 1, essbar] | Gewöhnliche Eiche [tox 0] | Stiel-Eiche [tox 0]",""
"sambucus racemosa",4,"2/3","ja/nein",1,"BA339 Trauben-Holunder (tox 3)","T020 P145 BA090 BA339","Roter Holunder [tox 2] | Holunder (Roth) [tox 2, essbar] | Hirschholunder [tox 2, essbar] | Trauben-Holunder [tox 3]","T020: GIFTIG! Rote Beeren roh giftig. | P145: Roh schwach giftig (Übelkeit). Kerne enthalten Blausäureverbindungen. | BA090: Roh giftig! Nur nach Kochen geniessbar | BA339: Roh giftig! Sambunigrin"
"ligustrum vulgare",4,"2/3","nein",1,"T090 Liguster (Gewöhnlicher) (tox 3)","T030 T090 T109 BA404","Liguster [tox 2] | Liguster (Gewöhnlicher) [tox 3] | Gemeiner Liguster [tox 2] | Echter Gemeiner Liguster [tox 3]","T030: GIFTIG! Schwarze Beeren. | T090: Beeren giftig – Übelkeit, Erbrechen | T109: GIFTIG – schwarze Beeren | BA404: Giftig! Beeren (Ligustrin)"
"viburnum opulus",4,"2/3","nein",1,"T095 Gemeiner Schneeball (tox 3)","T036 T095 T110 K186","Traubenholunder [tox 2] | Gemeiner Schneeball [tox 3] | Gewöhnlicher Schneeball [tox 2] | Echter Schneeball [tox 2]","T036: GIFTIG! Rote Beeren. | T095: Roh giftig – Übelkeit, Erbrechen | T110: GIFTIG roh | K186: Früchte roh giftig!"
"euphorbia cyparissias",4,"3/4","nein",1,"P126 Wolfsmilch (Zypressen) (tox 4)","T050 P126 W298 W668","Wolfsmilch [tox 3] | Wolfsmilch (Zypressen) [tox 4] | Fingerblättrige Wolfsmilch [tox 3] | Gewöhnliche Wolfsmilch [tox 3]","T050: GIFTIG! Milchsaft hautreizend und giftig. | P126: GIFTIG – Latex verursacht schwere Haut-/Augenentzündungen | W298: GIFTIG! Weisslicher Milchsaft – Haut, Augen reizen | W668: Giftig! Milchsaft ätzend"
"armillaria mellea",4,"0/1","ja",1,"F007 Hallimasch (tox 1)","F007 PI073 PI266 PI_K005","Hallimasch [tox 1, essbar] | Honiggelber Hallimasch [tox 0, essbar] | Honig-Hallimasch [tox 0, essbar] | Hallimasch [tox 1, essbar]",""
"laetiporus sulphureus",4,"0/1","ja/nein",1,"F021 Schwefelporling (tox 1)","F021 F103 F134 PI388","Schwefelporling [tox 1, essbar] | Hühner-Porling [tox 0, essbar] | Schwefelpilz [tox 0, essbar] | Blauer Saftporling [tox 0]",""
"leccinum aurantiacum",4,"0/1","ja",1,"F306 Espen-Rotkappe (tox 1)","F043 F077 F139 F306","Rotkappenröhrling [tox 0, essbar] | Rotkappe [tox 0, essbar] | Espenpilz [tox 0, essbar] | Espen-Rotkappe [tox 1, essbar]",""
"borago officinalis",4,"0/1","ja",1,"HP134 Echter Borretsch (II) (tox 1)","X302 HP134 K129 K201","Borretsch [tox 0, essbar] | Echter Borretsch (II) [tox 1, essbar] | Echter Borretsch [tox 0, essbar] | Echtes Boretsch [tox 0, essbar]",""
"lotus corniculatus",4,"0/1","ja/nein",1,"P103 Hornklee (Gewöhnlicher) (tox 1)","P103 P174 W099 K326","Hornklee (Gewöhnlicher) [tox 1] | Hornklee [tox 0, essbar] | Gewöhnlicher Hornklee [tox 0] | Echter Hornklee [tox 0]",""
"dracaena marginata",4,"1/2","nein",1,"HP012 Drachenbaumgewächs (Dracaena) (tox 2)","HP012 H075 HP253 HP394","Drachenbaumgewächs (Dracaena) [tox 2] | Drachenpflanze (klein) [tox 1] | Drachen-Baum [tox 2] | Echter Dracaena marginata [tox 2]","HP012: Giftig für Haustiere (besonders Katzen) | HP253: Giftig für Katzen und Hunde | HP394: Giftig für Katzen"
"galium odoratum",4,"0/1","ja",1,"P185 Waldmeister (tox 1)","P185 P227 HP099 K376","Waldmeister [tox 1, essbar] | Waldmeister (doppelt) [tox 1, essbar] | Waldmeister (Kraut) [tox 1, essbar] | Echter Waldmeister [tox 0, essbar]",""
"alisma plantago",4,"0/1","nein",1,"HP131 Echter Froschlöffel (tox 1)","HP131 W077 A075 FD0557","Echter Froschlöffel [tox 1] | Gemeiner Froschlöffel [tox 0] | Gewöhnlicher Froschlöffel [tox 1] | Froschlöffel [tox 0]",""
"cytisus scoparius",4,"2/3","nein",1,"W145 Besenginster (tox 3)","H094 W145 HP283 W754","Echter Ginsterstrauch [tox 2] | Besenginster [tox 3] | Zierspartei [tox 2] | Schottischer Ginster [tox 2]","H094: GIFTIG | W145: Giftig! Spartein-Alkaloide in Samen und Blüten | HP283: Giftig! Spartein | W754: Giftig! Spartein, Isospartein"
"suillellus luridus",4,"0/1","ja",1,"F291 Netzstieliger Hexen-Röhrling (tox 1)","F291 PI099 PI325 PI350","Netzstieliger Hexen-Röhrling [tox 1, essbar] | Netzstieliger Hexenröhrling [tox 0, essbar] | Netzhexe [tox 1, essbar] | Hexenröhrling (Lurid) [tox 1, essbar]",""
"angelica archangelica",3,"0/1","ja/nein",1,"HP130 Echter Engelwurz (tox 1)","P004 HP130 K394","Echte Engelwurz [tox 0, essbar] | Echter Engelwurz [tox 1] | Echter Arznei-Engelwurz [tox 0, essbar]",""
"berberis vulgaris",3,"0/1","ja",1,"T148 Berberitze (tox 1)","T021 T148 BA358","Gewöhnliche Berberitze [tox 0, essbar] | Berberitze [tox 1, essbar] | Echter Berberitze [tox 0, essbar]",""
"ile aquifolium",3,"2/3","nein",1,"T116 Gewöhnliche Stechpalme (tox 3)","T022 T116 W285","Stechpalme [tox 2] | Gewöhnliche Stechpalme [tox 3] | Europäische Stechpalme [tox 3]","T022: GIFTIG! Rote Beeren. | T116: GIFTIG – rote Beeren | W285: GIFTIG! Früchte für Kinder"
"quercus petraea",3,"0/1","ja/nein",1,"T053 Eiche (Trauben) (tox 1)","T041 T053 BA326","Traubeneiche [tox 0] | Eiche (Trauben) [tox 1, essbar] | Trauben-Eiche [tox 0]",""
"ranunculus repens",3,"2/3","nein",1,"P121 Hahnenfuss (Kriechender) (tox 3)","P121 W052 W694","Hahnenfuss (Kriechender) [tox 3] | Kriechender Hahnenfuß [tox 2] | Kriechender Hahnenfuss [tox 2]","P121: GIFTIG – Protoanemonin verursacht Blasen auf Schleimhäuten | W052: Giftig frisch! Protoanemonin – Hautblasen möglich | W694: Giftig roh! Protoanemonin"
"cornus sanguinea",3,"1/2","nein",1,"T078 Roter Hartriegel (tox 2)","T078 K187 BA323","Roter Hartriegel [tox 2] | Gewöhnlicher Hartriegel [tox 1] | Blutroter Hartriegel [tox 2]","T078: Früchte leicht giftig – Übelkeit | BA323: Beeren giftig! Magenreizend"
"russula emetica",3,"2/3","nein",1,"PI034 Gifttäubling (tox 3)","F060 PI034 PI370","Brech-Täubling [tox 2] | Gifttäubling [tox 3] | Echter Ziegelroter Täubling [tox 3]","F060: Giftig – Erbrechen, Durchfall. Schärfe ist Warnung! Alle scharfen Täublinge meid | PI034: Giftig: Übelkeit, Erbrechen, Durchfall | PI370: Giftig! Scharf-brennend; Erbrechen"
"yucca elephantipes",3,"0/1","nein",1,"HP011 Yucca Palme (tox 1)","HP011 HP156 HP266","Yucca Palme [tox 1] | Yucca Palmlilie [tox 0] | Yucca-Palme [tox 1]",""
"tradescantia zebrina",3,"0/1","nein",1,"HP027 Zimmerpflanze Tradescantia (tox 1)","HP027 HP201 HP390","Zimmerpflanze Tradescantia [tox 1] | Tradescantia [tox 0] | Echter Tradescantia [tox 0]",""
"adenium obesum",3,"3/4","nein",1,"HP038 Zimmerpflanze Adenium (tox 4)","HP038 H081 HP269","Zimmerpflanze Adenium [tox 4] | Wüstenrose (kl.) [tox 3] | Wüstenrose [tox 4]","HP038: STARK GIFTIG! Alle Teile, Milchsaft hautreizend | H081: GIFTIG – alle Teile | HP269: GIFTIG! Herzglykoside im Milchsaft"
"scleroderma citrinum",3,"2/3","nein",1,"PI055 Hartbovist (tox 3)","F132 PI055 PI505","Samtiger Erdwarzenpilz [tox 2] | Hartbovist [tox 3] | Echter Hartbovist [tox 3]","F132: GIFTIG | PI055: Giftig: Sclerodermatin – Magen-Darm-Beschwerden | PI505: Giftig! Schwarz innen!"
"armoracia rusticana",3,"0/1","ja",1,"HP061 Gewöhnlicher Meerrettich (tox 1)","HP061 W199 K149","Gewöhnlicher Meerrettich [tox 1, essbar] | Meerrettich [tox 0, essbar] | Echter Meerrettich [tox 0, essbar]",""
"oxalis acetosella",3,"0/1","ja",1,"HP083 Wald-Sauerklee (tox 1)","HP083 HP143 W171","Wald-Sauerklee [tox 1, essbar] | Echter Sauerklee (II) [tox 1, essbar] | Knoblauch-Sauerklee [tox 0, essbar]",""
"senecio vulgaris",3,"1/2","nein",1,"W318 Gewöhnliches Kreuzkraut (tox 2)","HP110 W318 W817","Gemeines Kreuzkraut [tox 1] | Gewöhnliches Kreuzkraut [tox 2] | Gemeines Greiskraut [tox 2]","W318: Schwach giftig (Pyrrolizidinalkaloide) | W817: Pyrrolizidinalkaloide! Lebergiftig"
"sansevieria trifasciata",3,"1/2","nein",1,"HP162 Sansevieria (tox 2)","H071 HP162 HP256","Bogenhanf (gross) [tox 1] | Sansevieria [tox 2] | Bogenhanf [tox 2]","HP162: Giftig für Haustiere | HP256: Giftig für Katzen und Hunde"
"coprinellus micaceus",3,"0/1","ja",1,"F268 Glimmer-Tintling (tox 1)","F268 PI166 PI517","Glimmer-Tintling [tox 1, essbar] | Glimmertintling [tox 0, essbar] | Echter Glimmer-Tintenling [tox 1, essbar]",""
"sarcodon imbricatus",3,"0/1","ja",1,"F296 Habichtspilz (Rehpilz) (tox 1)","F296 PI198 PI456","Habichtspilz (Rehpilz) [tox 1, essbar] | Habichtspilz [tox 0, essbar] | Gemeiner Korkstacheling [tox 0, essbar]",""
"ramaria botrytis",3,"0/1","ja",1,"F297 Hahnenkamm-Koralle (tox 1)","F297 PI145 PI376","Hahnenkamm-Koralle [tox 1, essbar] | Hahnenkamm [tox 0, essbar] | Kirschrote Koralle [tox 0, essbar]",""
"aethusa cynapium",3,"4/5","nein",1,"K397 Echter Hundspetersilie (tox 5)","W186 W289 K397","Hundspetersilie [tox 4] | Hunds-Petersilie [tox 4] | Echter Hundspetersilie [tox 5]","W186: GIFTIG! Cynapium – Übelkeit, Krämpfe | W289: GIFTIG! Cynapium – Übelkeit, Krämpfe | K397: HOCHGIFTIG! Täuschend ähnlich der Petersilie!"
"lactarius piperatus",3,"2/3","nein",1,"PI497 Echter Weisser Milchling (tox 3)","PI079 PI217 PI497","Weisser Milchling [tox 2] | Pfefferling [tox 2] | Echter Weisser Milchling [tox 3]","PI079: Sehr scharf, roh giftig | PI217: Sehr scharf, Magen reizend | PI497: Extrem scharf, giftig"
"anthriscus sylvestris",2,"1/2","ja/nein",1,"P005 Wiesenkerbel (tox 2)","P005 HP105","Wiesenkerbel [tox 2] | Echter Wiesenkerbel [tox 1, essbar]","P005: GIFTIG! Verwechslung mit essbaren Doldenblütlern. Alle Teile giftig."
"daphne mezereum",2,"4/5","nein",1,"P168 Seidelbast (tox 5)","P029 P168","Echter Seidelbast [tox 4] | Seidelbast [tox 5]","P029: 🔴 STARK GIFTIG! Alle Teile, besonders Beeren. Schon wenige Beeren für Kinder le | P168: ☠️ LEBENSGEFÄHRLICH! 12 Beeren können einen Erwachsenen töten. Hautkontakt verur"
"digitalis purpurea",2,"3/4","nein",1,"P038 Roter Fingerhut (tox 4)","P038 X311","Roter Fingerhut [tox 4] | Fingerhut (Roter) [tox 3]","P038: 🔴 STARK GIFTIG! Herzglykosid. Alle Teile. Bei Vergiftung Notruf 145. | X311: 🔴 STARK GIFTIG! Herzglykoside. Schon wenige Blätter können tödlich sein. Herzra"
"prunus padus",2,"1/2","ja/nein",1,"T072 Traubenkirsche (Prunus) (tox 2)","T045 T072","Traubenkirsche [tox 1] | Traubenkirsche (Prunus) [tox 2, essbar]","T072: Kerne enthalten Blausäure!"
"lactarius pubescens",2,"1/2","ja/nein",1,"PI260 Birken-Milchling (tox 2)","F020 PI260","Birkenreizker [tox 1, essbar] | Birken-Milchling [tox 2]","PI260: Scharf, giftig roh"
"paxillus involutus",2,"3/4","nein",1,"PI309 Wasser-Krempling (tox 4)","F032 PI309","Kahler Krempling [tox 3] | Wasser-Krempling [tox 4]","F032: GIFTIG (kumulativ)! Immunhämolyse nach mehrmaligem Essen. | PI309: GIFTIG! Paxillin – hämolytische Anämie, auch nach Jahren!"
"agaricus xanthodermus",2,"2/3","nein",1,"PI439 Stink-Champignon (tox 3)","F033 PI439","Karbol-Champignon [tox 2] | Stink-Champignon [tox 3]","F033: GIFTIG! Gilbt an Basis, Karbolgeruch = nicht essen! | PI439: Giftig! Karbolchampignon-Gruppe"
"caltha palustris",2,"2/3","nein",1,"P120 Sumpfdotterblume (tox 3)","P120 P224","Sumpfdotterblume [tox 3] | Sumpf-Dotterblume [tox 2]","P120: GIFTIG – enthält Protoanemonin. Alle Teile giftig! | P224: GIFTIG"
"cyclamen purpurascens",2,"3/4","nein",1,"P132 Alpenveilchen (Wild) (tox 4)","P132 W257","Alpenveilchen (Wild) [tox 4] | Alpenveilchen [tox 3]","P132: GIFTIG, besonders die Knollen. Geschützte Art! | W257: Giftig! Saponine in der Knolle"
"ruscus aculeatus",2,"1/2","nein",1,"P146 Mäusedorn (tox 2)","P146 HP129","Mäusedorn [tox 2] | Echter Mäusedorn [tox 1]","P146: Beeren leicht giftig. Geschützte Art!"
"arctostaphylos uva",2,"0/1","nein",1,"P152 Bärentraube (tox 1)","P152 FD1029","Bärentraube [tox 1] | Bärentraube [tox 0]",""
"equisetum palustre",2,"2/3","nein",1,"P164 Sumpf-Schachtelhalm (tox 3)","P164 W227","Sumpf-Schachtelhalm [tox 3] | Sumpfschachtelhalm [tox 2]","P164: GIFTIG – besonders für Pferde. Rinder werden lahm. | W227: Giftig für Weidevieh (Pferdeschwanz-Krankheit)"
"ficus elastica",2,"1/2","nein",1,"HP005 Gummibaum (tox 2)","HP005 H073","Gummibaum [tox 2] | Echter Gummibaum (Burgundy) [tox 1]","HP005: Milchsaft giftig und hautreizend (Latexallergie!)"
"clivia miniata",2,"2/3","nein",1,"HP028 Zimmerpflanze Clivia (tox 3)","HP028 HP277","Zimmerpflanze Clivia [tox 3] | Klivie [tox 2]","HP028: Giftig! Alle Teile, besonders Wurzeln | HP277: Giftig! Lycorin – Erbrechen, Krämpfe"
"strelitzia reginae",2,"0/1","nein",1,"HP037 Zimmerpflanze Strelitzie (tox 1)","HP037 HP345","Zimmerpflanze Strelitzie [tox 1] | Strelitzie [tox 0]",""
